vendor_id,vendor_name,total_spend_ytd,contract_filename,renewal_date,status
1,United Enterprises,"$48,307,602",United_Enterprises_MSA.pdf,2026-12-03,Active
2,Prime Technologies,"$47,412,250",Prime_Technologies_VendorContract.pdf,2026-03-30,Active
3,Global Networks,"$76,509,155",Global_Networks_MasterAgreement.pdf,2027-04-09,Active
8,Sigma Dynamics,"$44,572,960",Sigma_Dynamics_Contract_2023.pdf,2027-04-12,Active
10,Prime Consulting,"$114,784",Prime_Consulting_MasterAgreement.pdf,2025-07-14,Inactive
11,Metropolitan Associates,"$9,907,954",Metropolitan_Associates_ServiceAgreement.pdf,2026-03-30,Active
12,Elite Capital,"$133,667,848",Elite_Capital_Contract_2023.pdf,2027-03-05,Active
13,Sigma Holdings,"$50,983,455",Sigma_Holdings_MSA.pdf,2027-07-13,Active
16,Pacific Dynamics,"$94,459,209",Pacific_Dynamics_ServiceAgreement.pdf,2026-10-21,Active
20,Central Corporation,"$63,606,145",Central_Corporation_VendorContract.pdf,2027-03-06,Active
21,National Consulting,"$143,591,194",National_Consulting_ServiceAgreement.pdf,2026-12-03,Active
22,Central Solutions,"$52,325,777",Central_Solutions_VendorContract.pdf,2026-07-30,Active
23,United Logistics,"$14,350,521",United_Logistics_Contract_2023.pdf,2026-11-06,Active
24,Summit Logistics,"$68,496,827",Summit_Logistics_VendorContract.pdf,2025-05-24,Inactive
26,Atlantic Enterprises,"$13,855,297",Atlantic_Enterprises_VendorContract.pdf,2026-06-13,Active
29,Horizon Services,"$48,508,439",Horizon_Services_MSA.pdf,2025-02-22,Active
32,Central Enterprises,"$16,296,795",Central_Enterprises_VendorContract.pdf,2027-06-01,Active
34,Apex Holdings,"$73,791,858",Apex_Holdings_MSA.pdf,2027-06-28,Active
36,Elite Networks,"$51,236,909",Elite_Networks_ServiceAgreement.pdf,2027-08-14,Active
37,Global Ventures,"$14,474,678",Global_Ventures_VendorContract.pdf,2027-03-18,Active
38,Premier Technologies,"$89,358,483",Premier_Technologies_VendorContract.pdf,2025-07-14,Active
39,Alpha Industries,"$95,948,804",Alpha_Industries_MasterAgreement.pdf,2027-02-23,Active
40,Southern Innovations,"$4,646,834",Southern_Innovations_Contract_2023.pdf,2027-06-24,Active
42,Velocity Holdings,"$49,671,741",Velocity_Holdings_MSA.pdf,2027-09-30,Active
47,Elite Group,"$52,779,744",Elite_Group_VendorContract.pdf,2026-09-12,Active
48,Peak Industries,"$98,078,026",Peak_Industries_ServiceAgreement.pdf,2026-05-26,Active
49,Prime Corporation,"$32,255,314",Prime_Corporation_VendorContract.pdf,2027-06-17,Active
53,Continental Associates,"$63,589,615",Continental_Associates_Contract_2023.pdf,2027-02-11,Active
56,Central Systems,"$90,268,520",Central_Systems_MasterAgreement.pdf,2027-08-26,Active
57,Delta Logistics,"$29,788,220",Delta_Logistics_Contract_2023.pdf,2026-11-16,Active
58,United Associates,"$79,160,331",United_Associates_ServiceAgreement.pdf,2025-05-07,Inactive
60,Horizon Associates,"$66,543,324",Horizon_Associates_MSA.pdf,2027-02-21,Active
61,Pinnacle Dynamics,"$34,464,711",Pinnacle_Dynamics_MasterAgreement.pdf,2027-02-04,Active
62,Atlantic Solutions,"$68,662,121",Atlantic_Solutions_Contract_2023.pdf,2027-10-22,Active
64,Delta Services,"$99,531,235",Delta_Services_ServiceAgreement.pdf,2025-09-07,Inactive
66,Pacific Industries,"$72,575,461",Pacific_Industries_ServiceAgreement.pdf,2026-04-22,Active
68,Atlantic International,"$166,677,585",Atlantic_International_VendorContract.pdf,2026-01-23,Active
72,Continental Holdings,"$124,820,129",Continental_Holdings_MSA.pdf,2026-12-26,Active
74,National Holdings,"$65,624,257",National_Holdings_Contract_2023.pdf,2026-09-22,Active
76,Sterling Capital,"$20,319,704",Sterling_Capital_MSA.pdf,2025-02-07,Inactive
77,Velocity International,"$49,539,226",Velocity_International_ServiceAgreement.pdf,2027-09-19,Active
78,Southern Logistics,"$13,411,601",Southern_Logistics_Contract_2023.pdf,2026-06-23,Active
80,Sigma Services,"$99,060,017",Sigma_Services_MasterAgreement.pdf,2027-01-23,Active
81,Summit Enterprises,"$94,507,261",Summit_Enterprises_MasterAgreement.pdf,2027-02-27,Active
83,Sterling Industries,"$22,977,870",Sterling_Industries_Contract_2023.pdf,2027-05-19,Active
88,Central Analytics,"$6,072,440",Central_Analytics_Contract_2023.pdf,2026-11-15,Active
94,Delta Consulting,"$88,535,744",Delta_Consulting_VendorContract.pdf,2026-12-19,Active
96,United Capital,"$28,577,597",United_Capital_ServiceAgreement.pdf,2027-11-10,Active
97,Atlantic Consulting,"$9,380,700",Atlantic_Consulting_MasterAgreement.pdf,2027-12-04,Active
99,Apex Logistics,"$200,000,000",Apex_Logistics_MSA.pdf,2027-01-01,Active
